,url,title,comments_from_registry,comments_by_email,comments_by_mail,page_file
013-4553,/notice/013-4553,"EIDCA Specialty Products Company
      
         - Environmental Compliance Approval (air)",0,0,0,notice-384.json
013-4554,/notice/013-4554,"EIDCA Specialty Products Company
      
         - Environmental Compliance Approval (air)",0,0,0,notice-384.json
013-4555,/notice/013-4555,"Goldcorp Canada Ltd. Musselwhite Mine
      
         - Amendment to a closure plan",0,0,0,notice-344.json
013-4557,/notice/013-4557,"Harte Gold Corp.
      
         - Mineral exploration permit",0,0,0,notice-394.json
013-4562,/notice/013-4562,"Harte Gold Corp.
      
         - Mineral exploration permit",0,0,0,notice-394.json
013-4572,/notice/013-4572,"American Iron & Metal Company Inc.
      
         - Environmental Compliance Approval (air)",14,0,1,notice-356.json
013-4573,/notice/013-4573,"Canadian Reformed Church at Burlington-South
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-394.json
013-4574,/notice/013-4574,"Munzing Canada Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-391.json
013-4576,/notice/013-4576,"1076330 Ontario Inc. 
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-341.json
013-4578,/notice/013-4578,Fisheries Management Zone 11 Management Plan,29,19,0,notice-287.json
013-4580,/notice/013-4580,"Cello Products Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-350.json
013-4581,/notice/013-4581,"Timco Foods Ltd.
      
         - Environmental Compliance Approval (air)",9,0,0,notice-173.json
013-4584,/notice/013-4584,"Jones Feed Mills Limited
      
         - Permit to take water",0,0,0,notice-386.json
013-4585,/notice/013-4585,"Pointe West Golf Club
      
         - Permit to take water",0,0,0,notice-397.json
013-4586,/notice/013-4586,"Waste Management of Canada Corporation
      
         - Environmental Compliance Approval (air)",0,0,0,notice-385.json
013-4587,/notice/013-4587,"Gemstone Developments Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-392.json
013-4588,/notice/013-4588,"SEJJ Environmental Solutions Inc. 
      
         - Environmental Compliance Approval (air)",0,0,0,notice-348.json
013-4589,/notice/013-4589,"Ferma Aggregates Inc.
      
         - Permit to take water",0,0,0,notice-270.json
013-4590,/notice/013-4590,"Artscrushing & Recycling Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-358.json
013-4592,/notice/013-4592,"Bayview Flowers (Jordan Station) Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-364.json
013-4594,/notice/013-4594,"Lac des Iles Mines Ltd.
      
         - Amendment to a closure plan",0,0,0,notice-380.json
013-4595,/notice/013-4595,Streamlining and updating of greenhouse gas reporting requirements,67,9,0,notice-400.json
013-4596,/notice/013-4596,"NOVA Chemicals (Canada) Ltd. / NOVA Chimie (Canada) Ltee.
      
         - Environmental Compliance Approval (air)",1,0,1,notice-396.json
013-4597,/notice/013-4597,"Flag resources Limited
      
         - Mineral exploration permit",4,0,0,notice-346.json
013-4598,/notice/013-4598,Increasing renewable content in fuels,39,29,0,notice-292.json
013-4599,/notice/013-4599,"Alphabet Overland Self Storage Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-393.json
013-4602,/notice/013-4602,"Domtar Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-401.json
013-4606,/notice/013-4606,"David Mask
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-383.json
013-4613,/notice/013-4613,"Cyanide Destruct Systems Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-353.json
013-4616,/notice/013-4616,"City of Toronto
      
         - Certificate of property use",0,0,0,notice-335.json
013-4617,/notice/013-4617,"Concord Adex Investments Limited
      
         - Permit to take water",0,0,0,notice-401.json
013-4619,/notice/013-4619,"Blue Spring Trout Farms Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-375.json
013-4620,/notice/013-4620,"Morrisburg Golf Club Inc.
      
         - Permit to take water",0,0,0,notice-304.json
013-4625,/notice/013-4625,"R.W. Tomlinson Ltd.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,5,2,notice-283.json
013-4627,/notice/013-4627,"St. Clair Management Corporation, as a General Partner for and on behalf of St. Clair Power, L.P. 
      
         - Environmental Compliance Approval (air)",0,0,0,notice-363.json
013-4629,/notice/013-4629,"D. Crupi & Sons Limited 
      
         - Environmental Compliance Approval (air)",0,0,1,notice-348.json
013-4631,/notice/013-4631,"Coon Bros. Sand & Gravel (1988) Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-319.json
013-4635,/notice/013-4635,"2391937 Ontario Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-398.json
013-4636,/notice/013-4636,"Nieuwland Feed & Supply Limited 
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-380.json
013-4637,/notice/013-4637,"Rayonier A.M. Canada Industries Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-392.json
013-4639,/notice/013-4639,Removing acetone reporting requirements,1,1,0,notice-364.json
013-4641,/notice/013-4641,"Harte Gold Corp. 
      
         - Mineral exploration permit",0,0,0,notice-394.json
013-4642,/notice/013-4642,"G. Tackaberry & Sons Construction Company Limited
      
         - Permit to take water",0,0,0,notice-335.json
013-4646,/notice/013-4646,"Ridgeland Developments Ltd. (Oakridge Golf Club)
      
         - Permit to take water",0,0,0,notice-391.json
013-4651,/notice/013-4651,"GFL Environmental Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-375.json
013-4652,/notice/013-4652,"Landings Campground Ltd. 
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-358.json
013-4653,/notice/013-4653,"ICS Universal Drum Reconditioning GP Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-287.json
013-4654,/notice/013-4654,"Bodycote Heat Treatment Canada, Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-356.json
013-4655,/notice/013-4655,"Harte Gold Corp. 
      
         - Mineral exploration permit",0,0,0,notice-394.json
013-4656,/notice/013-4656,"Harte Gold Corp.
      
         - Mineral exploration permit",0,0,0,notice-394.json
013-4669,/notice/013-4669,"Moffatt Scrap Iron & Metal Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-348.json
013-4673,/notice/013-4673,"Alumco Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-362.json
013-4674,/notice/013-4674,"Gordon Scadding Developments Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-374.json
013-4675,/notice/013-4675,"Proposal to amend Ontario’s Energy and Water Efficiency Regulation under the Electricity Act, 1998",9,3,0,notice-384.json
013-4676,/notice/013-4676,"Muskoka Rock Company Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-348.json
013-4677,/notice/013-4677,"C.H. Clement Construction Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-374.json
013-4679,/notice/013-4679,"Schickedanz Bros. Limited (Ballantrae Golf and Country Club) 
      
         - Permit to take water",0,0,0,notice-377.json
013-4681,/notice/013-4681,"NOVA Chemicals Corporation
      
         - Environmental Compliance Approval (air)",0,0,0,notice-392.json
013-4682,/notice/013-4682,"NOVA Chemicals (Canada) Ltd. / NOVA Chimie (Canada) Ltee. 
      
         - Environmental Compliance Approval (air)",0,0,1,notice-384.json
013-4683,/notice/013-4683,"Sonoco Canada Corporation
      
         - Environmental Compliance Approval (air)",0,0,0,notice-386.json
013-4684,/notice/013-4684,"The Town of Sioux Lookout
      
         - Approval of a municipality’s official plan",0,0,0,notice-383.json
013-4685,/notice/013-4685,"Legacy Ridge Golf Club Inc.
      
         - Permit to take water",0,0,0,notice-400.json
013-4686,/notice/013-4686,"Creek Side Village Inc.
      
         - Permit to take water",0,0,0,notice-386.json
013-4687,/notice/013-4687,"Pets Above Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-355.json
013-4688,/notice/013-4688,"First Mining Gold Corporation
      
         - Environmental Compliance Approval (air)",0,0,0,notice-355.json
013-4690,/notice/013-4690,"Ringtail Camp Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-216.json
013-4691,/notice/013-4691,"Douglas Johnston
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-397.json
013-4693,/notice/013-4693,"Schefter Poultry Processing Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-386.json
013-4694,/notice/013-4694,"2265718 Ontario Ltd.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-344.json
013-4695,/notice/013-4695,"WCPT Dupont Street Inc.
      
         - Permit to take water",0,0,0,notice-391.json
013-4696,/notice/013-4696,"2528472 Ontario Incorporated
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-395.json
013-4698,/notice/013-4698,"Soprema Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-387.json
013-4699,/notice/013-4699,"Bruce Peninsula Septic Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-302.json
013-4702,/notice/013-4702,"Owen Sound Septic Services Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-302.json
013-4703,/notice/013-4703,"Owen Sound Septic Services Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-383.json
013-4707,/notice/013-4707,"And-Son Contracting & Gravel Enterprises Incorporated
      
         - Environmental Compliance Approval (air)",0,0,0,notice-354.json
013-4711,/notice/013-4711,"Ontario Power Generation Inc. 
      
         - Environmental Compliance Approval (air)",0,0,0,notice-363.json
013-4712,/notice/013-4712,"Nevan Nelson (Nelson Granite Ltd.) 
      
         - Mineral exploration permit",0,0,0,notice-399.json
013-4714,/notice/013-4714,"Ed Peavoy Septic Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-303.json
013-4721,/notice/013-4721,"Actonbridge Holding Corp.
      
         - Permit to take water",0,0,0,notice-391.json
013-4722,/notice/013-4722,"Harte Gold Corp.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-398.json
013-4723,/notice/013-4723,"Panolam Industries Ltd.
      
         - Permit to take water",0,0,0,notice-391.json
013-4724,/notice/013-4724,"Norfolk Disposal Services Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-398.json
013-4725,/notice/013-4725,"Algoma Steel Inc.
      
         - Approval of a program to prevent, reduce or control discharge",0,0,0,notice-388.json
013-4726,/notice/013-4726,"Goldcorp Canada Ltd. (Porcupine Gold Mines) 
      
         - Amendment to a closure plan",2,0,0,notice-126.json
013-4729,/notice/013-4729,"R.W. Tomlinson Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,5,2,notice-320.json
013-4730,/notice/013-4730,"KG Patterson Construction Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,3,2,notice-291.json
013-4731,/notice/013-4731,"City of Toronto
      
         - Certificate of property use",0,0,0,notice-398.json
013-4734,/notice/013-4734,Proposal in support of the province’s review of the Far North Act,33,15,5,notice-290.json
013-4736,/notice/013-4736,"Shell Canada Products Ltd
      
         - Approval for variance from the Liquid Fuels Handling Code",0,0,0,notice-368.json
013-4738,/notice/013-4738,"Southampton Golf and Country Club Ltd.
      
         - Permit to take water",0,0,0,notice-395.json
013-4744,/notice/013-4744,"Madison Taylor Design Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-381.json
013-4745,/notice/013-4745,"Jones Crushing Corporation
      
         - Environmental Compliance Approval (air)",0,0,0,notice-383.json
013-4746,/notice/013-4746,"Dowler-Karn Limited 
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-395.json
013-4751,/notice/013-4751,"Greenfield Global Inc. 
      
         - Environmental Compliance Approval (air)",0,0,0,notice-354.json
013-4752,/notice/013-4752,"Polycorp Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-326.json
013-4754,/notice/013-4754,"Morgan Fuels Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-380.json
013-4756,/notice/013-4756,"Karl Heinz Dickob and Helga Dickob 
      
         - Permit to take water",0,0,0,notice-351.json
013-4757,/notice/013-4757,"Harold George Elders
      
         - Permit to take water",0,0,0,notice-377.json
013-4758,/notice/013-4758,"Mansfield Ski Club. Inc.
      
         - Permit to take water",0,0,0,notice-326.json
013-4759,/notice/013-4759,"Ingram Asphalt Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-389.json
013-4760,/notice/013-4760,"Revolution Environmental Solutions Acquisition GP Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-392.json
013-4761,/notice/013-4761,"Russell Kwiatkowski ( Echo Ridge Resources Inc ) 
      
         - Mineral exploration permit",0,0,0,notice-359.json
013-4763,/notice/013-4763,"Glencore Canada Corporation 
      
         - Amendment to a closure plan",0,0,0,notice-232.json
013-4764,/notice/013-4764,"Glencore Canada Corporation 
      
         - Amendment to a closure plan",0,0,0,notice-232.json
013-4765,/notice/013-4765,"Rosscomm Holdings Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-396.json
013-4766,/notice/013-4766,"Lafarge Canada Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-356.json
013-4768,/notice/013-4768,"The Oshawa Golf Club, Limited 
      
         - Permit to take water",0,0,0,notice-401.json
013-4769,/notice/013-4769,"Algoma Orchards Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-401.json
013-4770,/notice/013-4770,"Brendar Environmental Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-361.json
013-4771,/notice/013-4771,"Central Park Recycling Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-401.json
013-4781,/notice/013-4781,"Bellmere Holdings Inc.
      
         - Permit for activities to achieve an overall benefit to a species",28,0,0,notice-341.json
013-4782,/notice/013-4782,"Walness Developments Inc., et. al.
      
         - Permit to take water",0,0,0,notice-401.json
013-4784,/notice/013-4784,"Lexam VG Gold Inc. 
      
         - Permit to take water",1,0,0,notice-400.json
013-4785,/notice/013-4785,"Lexam VG Gold Inc.
      
         - Permit to take water",1,0,0,notice-400.json
013-4786,/notice/013-4786,"Willis Kerr Contracting Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-364.json
013-4787,/notice/013-4787,"TFP Clockwork Developments Inc.
      
         - Permit to take water",0,0,0,notice-400.json
013-4788,/notice/013-4788,"HK Travel Centres GP Inc., as general partner for and on behalf of HK Travel Centres L.P.
      
         - Permit to take water",0,0,0,notice-351.json
013-4789,/notice/013-4789,"Wallenstein Feed & Supply Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-259.json
013-4790,/notice/013-4790,"CRH Canada Group Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-354.json
013-4794,/notice/013-4794,"Ontario Graphite Ltd
      
         - Multiple orders",0,0,0,notice-400.json
013-4797,/notice/013-4797,"Georgian Bay Sanitation Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-301.json
013-4798,/notice/013-4798,"HT Dale Services
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-297.json
013-4799,/notice/013-4799,"HT Dale Services
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-297.json
013-4800,/notice/013-4800,"HT Dale Services
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-297.json
013-4801,/notice/013-4801,"HT Dale Services
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-297.json
013-4802,/notice/013-4802,"HT Dale Services
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-297.json
013-4803,/notice/013-4803,"Harte Gold Corp. 
      
         - Mineral exploration permit",0,0,0,notice-394.json
013-4804,/notice/013-4804,"Harte Gold Corp. 
      
         - Mineral exploration permit",0,0,0,notice-394.json
013-4805,/notice/013-4805,"AAAA Sanitation
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-309.json
013-4806,/notice/013-4806,"Paradise Homes North West Inc. and Paradise Homes NW Inc.
      
         - Permit to take water",0,0,0,notice-391.json
013-4807,/notice/013-4807,"Shoreline Rail Group Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-371.json
013-4808,/notice/013-4808,"Henry Heyink Excavating Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-382.json
013-4809,/notice/013-4809,"2228221 Ontario Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-383.json
013-4810,/notice/013-4810,"2569129 Ontario Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-364.json
013-4811,/notice/013-4811,"Foxwood Golf Ltd. (Foxwood Country Club)
      
         - Permit to take water",0,0,0,notice-392.json
013-4812,/notice/013-4812,"Nachurs Alpine Solutions Inc.
      
         - Permit to take water",0,0,0,notice-392.json
013-4814,/notice/013-4814,"2551943 Ontario Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-367.json
013-4815,/notice/013-4815,"Summerheights Golf Links Ltd.
      
         - Permit to take water",0,0,0,notice-353.json
013-4820,/notice/013-4820,"Areast Inc.
      
         - Certificate of property use",0,0,0,notice-397.json
013-4821,/notice/013-4821,"Regency Plastics Company Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-375.json
013-4822,/notice/013-4822,"Niagara Piston Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-389.json
013-4823,/notice/013-4823,"Peppertree Greenhouses Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-220.json
013-4824,/notice/013-4824,"Joerg Kleinboeck 
      
         - Mineral exploration permit",0,0,0,notice-401.json
013-4825,/notice/013-4825,"Bunge Canada Holdings I ULC
      
         - Environmental Compliance Approval (air)",4,0,0,notice-383.json
013-4826,/notice/013-4826,"Glencore Canada Corporation
      
         - Changes to the site plan for a pit or quarry",0,2,0,notice-226.json
013-4827,/notice/013-4827,"O. Bettschen Construction Ltd.
      
         - Changes to the site plan for a pit or quarry",0,1,0,notice-396.json
013-4830,/notice/013-4830,"O. Bettschen Construction Ltd. 
      
         - Changes to the conditions of a licence to operate a pit or quarry",0,0,0,notice-395.json
013-4832,/notice/013-4832,"Dufferin Aggregates, a Division of CRH Canada Group Inc.
      
         - Changes to the site plan for a pit or quarry",0,0,0,notice-340.json
013-4833,/notice/013-4833,"Dufferin Aggregates, A Division of CRH Canada Inc.
      
         - Changes to the conditions of a licence to operate a pit or quarry",0,0,4,notice-340.json
013-4835,/notice/013-4835,"Fowler Construction Company Ltd.
      
         - Changes to the conditions of a licence to operate a pit or quarry",44,0,186,notice-71.json
013-4836,/notice/013-4836,"Fowler Construction Company Ltd.
      
         - Changes to the site plan for a pit or quarry",47,0,0,notice-71.json
013-4837,/notice/013-4837,"Stonehenge Golf Club Inc.
      
         - Permit to take water",0,0,0,notice-391.json
013-4838,/notice/013-4838,"Invecta Development (Ottawa) Corporation
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-372.json
013-4839,/notice/013-4839,"Honda of Canada Mfg.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-398.json
013-4845,/notice/013-4845,Proposed amendments to General Regulation 334 under the Environmental Assessment Act to support the efficient disposal of government property,7,1,2,notice-328.json
013-4846,/notice/013-4846,"Vale Canada Limited
      
         - Mineral exploration permit",0,0,0,notice-399.json
013-4847,/notice/013-4847,"Frank Kling Limited
      
         - Permit to take water",0,0,0,notice-388.json
013-4848,/notice/013-4848,"Ottawa-Carleton Ultimate Association
      
         - Permit to take water",0,0,0,notice-337.json
013-4849,/notice/013-4849,"Treasury Metals Incorporated - Adam Larsen
      
         - Mineral exploration permit",0,0,0,notice-392.json
013-4850,/notice/013-4850,"Treasury Metals Incorporated - Adam Larsen
      
         - Mineral exploration permit",0,0,0,notice-391.json
013-4851,/notice/013-4851,"Treasury Metals Incorporated - Adam Larsen
      
         - Mineral exploration permit",0,0,0,notice-391.json
013-4852,/notice/013-4852,"NGF Canada Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-350.json
013-4853,/notice/013-4853,"1823071 Ontario Limited, as general partner for and on behalf of 340 Queen St. Limited
      
         - Permit to take water",0,0,0,notice-335.json
013-4855,/notice/013-4855,"General Electric Canada Company
      
         - Permit to take water",1,0,0,notice-332.json
013-4857,/notice/013-4857,"IKO Industries Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-358.json
013-4861,/notice/013-4861,"Regional Sanitation Disp
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-297.json
013-4862,/notice/013-4862,"First Mining Gold Corporation
      
         - Mineral exploration permit",0,0,0,notice-398.json
013-4863,/notice/013-4863,"Rick A Vaillancourt Septic Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-263.json
013-4864,/notice/013-4864,"Grey Bruce Septic Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-294.json
013-4865,/notice/013-4865,"Stelco Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-397.json
013-4866,/notice/013-4866,"Cyanide Destruct Systems Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-338.json
013-4867,/notice/013-4867,"Grey Bruce Septic Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-294.json
013-4868,/notice/013-4868,"Taylor A. Giesbrecht
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-294.json
013-4870,/notice/013-4870,"Cripath One Corporation
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-399.json
013-4871,/notice/013-4871,"Stubbe's Property Development Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-360.json
013-4872,/notice/013-4872,"H & H Construction Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-366.json
013-4874,/notice/013-4874,"St. Marys Cement Inc. (Canada)
      
         - Permit to take water",0,0,0,notice-387.json
013-4875,/notice/013-4875,"Capstone Ventures Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-381.json
013-4876,/notice/013-4876,"Gerdau Ameristeel Corporation
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-389.json
013-4878,/notice/013-4878,"Belmont Medical Centre Inc
      
         - Certificate of property use",0,0,0,notice-395.json
013-4879,/notice/013-4879,"London Mechanical Services Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-365.json
013-4880,/notice/013-4880,"Taylor A. Griesbrecht
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-294.json
013-4882,/notice/013-4882,"Inventus Mining Corp 
      
         - Mineral exploration permit",0,0,0,notice-401.json
013-4883,/notice/013-4883,"River Realty Development (1976) Inc.
      
         - Certificate of property use",0,0,0,notice-329.json
013-4884,/notice/013-4884,"NPIF Kingston CoGen Corp. as general partner for and on behalf of Kingston CoGen Limited Partnership
      
         - Environmental Compliance Approval (air)",0,0,0,notice-354.json
013-4886,/notice/013-4886,"Gowest Gold Ltd.
      
         - Permit to take water",0,0,0,notice-395.json
013-4888,/notice/013-4888,"Bell City Foundry (Brantford) Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-336.json
013-4889,/notice/013-4889,"Savage Arms (Canada), Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-341.json
013-4890,/notice/013-4890,"North America Graphics Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-354.json
013-4891,/notice/013-4891,"Coco Paving Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-328.json
013-4893,/notice/013-4893,"2681891 Ontario Inc.
      
         - Mineral exploration permit",0,0,0,notice-400.json
013-4894,/notice/013-4894,"Perth & District Septic
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-297.json
013-4895,/notice/013-4895,"Perth & District Septic
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-299.json
013-4896,/notice/013-4896,"Perth & District Septic
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-299.json
013-4897,/notice/013-4897,"Perth & District Septic
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-298.json
013-4898,/notice/013-4898,"Enbridge Gas Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-375.json
013-4899,/notice/013-4899,"Enbridge Gas Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-380.json
013-4901,/notice/013-4901,"2314983 Ontario Inc.
      
         - Permit to take water",0,0,0,notice-376.json
013-4903,/notice/013-4903,"River Realty Development (1976) Inc.
      
         - Certificate of property use",0,0,0,notice-329.json
013-4904,/notice/013-4904,"St. Marys Cement Inc. (Canada)
      
         - Permit to take water",0,0,0,notice-386.json
013-4906,/notice/013-4906,"John Cress Contracting
      
         - Environmental Compliance Approval (air)",0,0,0,notice-336.json
013-4911,/notice/013-4911,"CRH Canada Group Inc
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",15,0,0,notice-56.json
013-4912,/notice/013-4912,"1048547 Ontario Inc. operating as Skotidakis Goat Farm
      
         - Permit to take water",0,0,0,notice-351.json
013-4913,/notice/013-4913,"Christopher Partrie
      
         - Mineral exploration permit",0,0,0,notice-397.json
013-4914,/notice/013-4914,"Manfred Schoor
      
         - Mineral exploration permit",0,0,0,notice-374.json
013-4924,/notice/013-4924,"Alain Vallee
      
         - Mineral exploration permit",0,0,0,notice-396.json
013-4931,/notice/013-4931,"D. Crupi & Sons Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-381.json
013-4934,/notice/013-4934,"2201115 Ontario Inc.
      
         - Permit to take water",0,0,0,notice-385.json
013-4935,/notice/013-4935,"Tri City Materials Ltd.
      
         - Permit to take water",2,0,0,notice-395.json
013-4936,/notice/013-4936,"Clare Allan Brunetta
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-397.json
013-4937,/notice/013-4937,"Sherborne Lodge Developments Limited
      
         - Permit to take water",0,0,0,notice-376.json
013-4938,/notice/013-4938,"Michelle Wartman
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-382.json
013-4939,/notice/013-4939,"1416958 Ontario Inc.
      
         - Permit to take water",0,0,0,notice-386.json
013-4940,/notice/013-4940,"Atlas Dewatering Corporation
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-397.json
013-4941,/notice/013-4941,"Maple Downs Golf and Country Club Limited
      
         - Permit to take water",0,0,0,notice-386.json
013-4942,/notice/013-4942,"2419723 Ontario Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-400.json
013-4943,/notice/013-4943,"Perth & District Septic
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-298.json
013-4944,/notice/013-4944,"Perth & District Septic
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-298.json
013-4945,/notice/013-4945,"Chadwick Gordron Munro
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-282.json
013-4946,/notice/013-4946,"John Hedican Enterprises/EnviroClean
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-282.json
013-4952,/notice/013-4952,"Township of Clearview (c/o Steven Sage, CAO)
      
         - Approval of an amendment to the Niagara Escarpment Plan",3,62,0,notice-86.json
013-4961,/notice/013-4961,"Hilary Galey
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-382.json
013-4962,/notice/013-4962,"2274919 Ontario Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-384.json
013-4963,/notice/013-4963,"1384341 Ontario Ltd. operating as Cavanagh Developments
      
         - Environmental Compliance Approval (sewage)",10,25,0,notice-278.json
013-4965,/notice/013-4965,"Lincoln Electric Company of Canada GP Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-364.json
013-4966,/notice/013-4966,"Larry D. Brown
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-284.json
013-4967,/notice/013-4967,"Canterbury Land Development Corporation
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-382.json
013-4971,/notice/013-4971,"CalClean Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-340.json
